"","sampleName","Year","Tissue","Phenology","indexer","Rootstock","Irrigation","Row","Block"
"A1Y1_215_L","A1Y1_215_L","2017","Leaf","Harvest","2017_Harvest_Leaf_16_D_2","3309C","Full","16","C"
"A1Y1_216_L","A1Y1_216_L","2017","Leaf","Harvest","2017_Harvest_Leaf_16_D_3","3309C","Full","16","C"
"A1Y1_001_R","A1Y1_001_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_8_A_2","1103P","None","8","A"
"A1Y1_002_R","A1Y1_002_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_8_A_3","1103P","None","8","A"
"A1Y1_003_R","A1Y1_003_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_8_B_2","3309C","None","8","A"
"A1Y1_004_R","A1Y1_004_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_8_B_3","3309C","None","8","A"
"A1Y1_005_R","A1Y1_005_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_8_C_2","SO4","None","8","A"
"A1Y1_006_R","A1Y1_006_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_8_C_3","SO4","None","8","A"
"A1Y1_007_R","A1Y1_007_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_8_D_2","Ungrafted","None","8","A"
"A1Y1_008_R","A1Y1_008_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_8_D_3","Ungrafted","None","8","A"
"A1Y1_009_R","A1Y1_009_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_9_A_2","Ungrafted","RDI","9","A"
"A1Y1_010_R","A1Y1_010_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_9_A_3","Ungrafted","RDI","9","A"
"A1Y1_011_R","A1Y1_011_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_9_B_2","1103P","RDI","9","A"
"A1Y1_012_R","A1Y1_012_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_9_B_3","1103P","RDI","9","A"
"A1Y1_013_R","A1Y1_013_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_9_C_2","3309C","RDI","9","A"
"A1Y1_014_R","A1Y1_014_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_9_C_3","3309C","RDI","9","A"
"A1Y1_015_R","A1Y1_015_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_9_D_2","SO4","RDI","9","A"
"A1Y1_016_R","A1Y1_016_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_9_D_3","SO4","RDI","9","A"
"A1Y1_017_R","A1Y1_017_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_10_A_2","3309C","Full","10","A"
"A1Y1_018_R","A1Y1_018_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_10_A_3","3309C","Full","10","A"
"A1Y1_020_R","A1Y1_020_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_10_B_3","SO4","Full","10","A"
"A1Y1_021_R","A1Y1_021_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_10_C_2","Ungrafted","Full","10","A"
"A1Y1_022_R","A1Y1_022_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_10_C_3","Ungrafted","Full","10","A"
"A1Y1_023_R","A1Y1_023_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_10_D_2","1103P","Full","10","A"
"A1Y1_024_R","A1Y1_024_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_10_D_3","1103P","Full","10","A"
"A1Y1_025_R","A1Y1_025_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_11_A_2","3309C","RDI","11","B"
"A1Y1_026_R","A1Y1_026_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_11_A_3","3309C","RDI","11","B"
"A1Y1_027_R","A1Y1_027_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_11_B_2","1103P","RDI","11","B"
"A1Y1_028_R","A1Y1_028_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_11_B_3","1103P","RDI","11","B"
"A1Y1_029_R","A1Y1_029_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_11_C_2","Ungrafted","RDI","11","B"
"A1Y1_030_R","A1Y1_030_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_11_C_3","Ungrafted","RDI","11","B"
"A1Y1_031_R","A1Y1_031_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_11_D_2","SO4","RDI","11","B"
"A1Y1_032_R","A1Y1_032_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_11_D_3","SO4","RDI","11","B"
"A1Y1_033_R","A1Y1_033_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_12_A_2","1103P","Full","12","B"
"A1Y1_034_R","A1Y1_034_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_12_A_3","1103P","Full","12","B"
"A1Y1_035_R","A1Y1_035_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_12_B_2","Ungrafted","Full","12","B"
"A1Y1_036_R","A1Y1_036_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_12_B_3","Ungrafted","Full","12","B"
"A1Y1_037_R","A1Y1_037_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_12_C_2","SO4","Full","12","B"
"A1Y1_038_R","A1Y1_038_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_12_C_3","SO4","Full","12","B"
"A1Y1_039_R","A1Y1_039_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_12_D_2","3309C","Full","12","B"
"A1Y1_040_R","A1Y1_040_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_12_D_3","3309C","Full","12","B"
"A1Y1_041_R","A1Y1_041_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_13_A_2","SO4","None","13","B"
"A1Y1_042_R","A1Y1_042_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_13_A_3","SO4","None","13","B"
"A1Y1_043_R","A1Y1_043_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_13_B_2","3309C","None","13","B"
"A1Y1_044_R","A1Y1_044_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_13_B_3","3309C","None","13","B"
"A1Y1_045_R","A1Y1_045_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_13_C_2","1103P","None","13","B"
"A1Y1_046_R","A1Y1_046_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_13_C_3","1103P","None","13","B"
"A1Y1_047_R","A1Y1_047_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_13_D_2","Ungrafted","None","13","B"
"A1Y1_048_R","A1Y1_048_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_13_D_3","Ungrafted","None","13","B"
"A1Y1_049_R","A1Y1_049_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_14_A_2","3309C","RDI","14","C"
"A1Y1_050_R","A1Y1_050_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_14_A_3","3309C","RDI","14","C"
"A1Y1_051_R","A1Y1_051_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_14_B_2","SO4","RDI","14","C"
"A1Y1_052_R","A1Y1_052_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_14_B_3","SO4","RDI","14","C"
"A1Y1_053_R","A1Y1_053_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_14_C_2","Ungrafted","RDI","14","C"
"A1Y1_054_R","A1Y1_054_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_14_C_3","Ungrafted","RDI","14","C"
"A1Y1_055_R","A1Y1_055_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_14_D_2","1103P","RDI","14","C"
"A1Y1_056_R","A1Y1_056_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_14_D_3","1103P","RDI","14","C"
"A1Y1_057_R","A1Y1_057_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_15_A_2","Ungrafted","None","15","C"
"A1Y1_058_R","A1Y1_058_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_15_A_3","Ungrafted","None","15","C"
"A1Y1_059_R","A1Y1_059_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_15_B_2","3309C","None","15","C"
"A1Y1_060_R","A1Y1_060_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_15_B_3","3309C","None","15","C"
"A1Y1_061_R","A1Y1_061_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_15_C_2","1103P","None","15","C"
"A1Y1_062_R","A1Y1_062_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_15_C_3","1103P","None","15","C"
"A1Y1_063_R","A1Y1_063_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_15_D_2","SO4","None","15","C"
"A1Y1_064_R","A1Y1_064_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_15_D_3","SO4","None","15","C"
"A1Y1_065_R","A1Y1_065_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_16_A_2","1103P","Full","16","C"
"A1Y1_066_R","A1Y1_066_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_16_A_3","1103P","Full","16","C"
"A1Y1_067_R","A1Y1_067_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_16_B_2","Ungrafted","Full","16","C"
"A1Y1_068_R","A1Y1_068_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_16_B_3","Ungrafted","Full","16","C"
"A1Y1_069_R","A1Y1_069_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_16_C_2","SO4","Full","16","C"
"A1Y1_070_R","A1Y1_070_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_16_C_3","SO4","Full","16","C"
"A1Y1_071_R","A1Y1_071_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_16_D_2","3309C","Full","16","C"
"A1Y1_072_R","A1Y1_072_R","2017","Reproductive","Anthesis","2017_Anthesis_Reproductive_16_D_3","3309C","Full","16","C"
"A1Y1_073_R","A1Y1_073_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_8_A_2","1103P","None","8","A"
"A1Y1_074_R","A1Y1_074_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_8_A_3","1103P","None","8","A"
"A1Y1_075_R","A1Y1_075_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_8_B_2","3309C","None","8","A"
"A1Y1_076_R","A1Y1_076_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_8_B_3","3309C","None","8","A"
"A1Y1_077_R","A1Y1_077_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_8_C_2","SO4","None","8","A"
"A1Y1_078_R","A1Y1_078_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_8_C_3","SO4","None","8","A"
"A1Y1_079_R","A1Y1_079_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_8_D_2","Ungrafted","None","8","A"
"A1Y1_080_R","A1Y1_080_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_8_D_3","Ungrafted","None","8","A"
"A1Y1_081_R","A1Y1_081_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_9_A_2","Ungrafted","RDI","9","A"
"A1Y1_082_R","A1Y1_082_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_9_A_3","Ungrafted","RDI","9","A"
"A1Y1_083_R","A1Y1_083_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_9_B_2","1103P","RDI","9","A"
"A1Y1_084_R","A1Y1_084_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_9_B_3","1103P","RDI","9","A"
"A1Y1_085_R","A1Y1_085_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_9_C_2","3309C","RDI","9","A"
"A1Y1_086_R","A1Y1_086_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_9_C_3","3309C","RDI","9","A"
"A1Y1_087_R","A1Y1_087_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_9_D_2","SO4","RDI","9","A"
"A1Y1_088_R","A1Y1_088_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_9_D_3","SO4","RDI","9","A"
"A1Y1_089_R","A1Y1_089_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_10_A_2","3309C","Full","10","A"
"A1Y1_090_R","A1Y1_090_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_10_A_3","3309C","Full","10","A"
"A1Y1_092_R","A1Y1_092_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_10_B_3","SO4","Full","10","A"
"A1Y1_093_R","A1Y1_093_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_10_C_2","Ungrafted","Full","10","A"
"A1Y1_094_R","A1Y1_094_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_10_C_3","Ungrafted","Full","10","A"
"A1Y1_095_R","A1Y1_095_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_10_D_2","1103P","Full","10","A"
"A1Y1_096_R","A1Y1_096_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_10_D_3","1103P","Full","10","A"
"A1Y1_097_R","A1Y1_097_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_11_A_2","3309C","RDI","11","B"
"A1Y1_098_R","A1Y1_098_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_11_A_3","3309C","RDI","11","B"
"A1Y1_099_R","A1Y1_099_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_11_B_2","1103P","RDI","11","B"
"A1Y1_100_R","A1Y1_100_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_11_B_3","1103P","RDI","11","B"
"A1Y1_101_R","A1Y1_101_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_11_C_2","Ungrafted","RDI","11","B"
"A1Y1_102_R","A1Y1_102_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_11_C_3","Ungrafted","RDI","11","B"
"A1Y1_103_R","A1Y1_103_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_11_D_2","SO4","RDI","11","B"
"A1Y1_104_R","A1Y1_104_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_11_D_3","SO4","RDI","11","B"
"A1Y1_105_R","A1Y1_105_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_12_A_2","1103P","Full","12","B"
"A1Y1_106_R","A1Y1_106_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_12_A_3","1103P","Full","12","B"
"A1Y1_107_R","A1Y1_107_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_12_B_2","Ungrafted","Full","12","B"
"A1Y1_108_R","A1Y1_108_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_12_B_3","Ungrafted","Full","12","B"
"A1Y1_109_R","A1Y1_109_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_12_C_2","SO4","Full","12","B"
"A1Y1_110_R","A1Y1_110_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_12_C_3","SO4","Full","12","B"
"A1Y1_111_R","A1Y1_111_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_12_D_2","3309C","Full","12","B"
"A1Y1_112_R","A1Y1_112_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_12_D_3","3309C","Full","12","B"
"A1Y1_113_R","A1Y1_113_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_13_A_2","SO4","None","13","B"
"A1Y1_114_R","A1Y1_114_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_13_A_3","SO4","None","13","B"
"A1Y1_115_R","A1Y1_115_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_13_B_2","3309C","None","13","B"
"A1Y1_116_R","A1Y1_116_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_13_B_3","3309C","None","13","B"
"A1Y1_117_R","A1Y1_117_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_13_C_2","1103P","None","13","B"
"A1Y1_118_R","A1Y1_118_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_13_C_3","1103P","None","13","B"
"A1Y1_119_R","A1Y1_119_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_13_D_2","Ungrafted","None","13","B"
"A1Y1_120_R","A1Y1_120_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_13_D_3","Ungrafted","None","13","B"
"A1Y1_121_R","A1Y1_121_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_14_A_2","3309C","RDI","14","C"
"A1Y1_122_R","A1Y1_122_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_14_A_3","3309C","RDI","14","C"
"A1Y1_123_R","A1Y1_123_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_14_B_2","SO4","RDI","14","C"
"A1Y1_124_R","A1Y1_124_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_14_B_3","SO4","RDI","14","C"
"A1Y1_125_R","A1Y1_125_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_14_C_2","Ungrafted","RDI","14","C"
"A1Y1_126_R","A1Y1_126_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_14_C_3","Ungrafted","RDI","14","C"
"A1Y1_127_R","A1Y1_127_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_14_D_2","1103P","RDI","14","C"
"A1Y1_128_R","A1Y1_128_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_14_D_3","1103P","RDI","14","C"
"A1Y1_129_R","A1Y1_129_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_15_A_2","Ungrafted","None","15","C"
"A1Y1_130_R","A1Y1_130_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_15_A_3","Ungrafted","None","15","C"
"A1Y1_131_R","A1Y1_131_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_15_B_2","3309C","None","15","C"
"A1Y1_132_R","A1Y1_132_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_15_B_3","3309C","None","15","C"
"A1Y1_133_R","A1Y1_133_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_15_C_2","1103P","None","15","C"
"A1Y1_134_R","A1Y1_134_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_15_C_3","1103P","None","15","C"
"A1Y1_135_R","A1Y1_135_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_15_D_2","SO4","None","15","C"
"A1Y1_136_R","A1Y1_136_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_15_D_3","SO4","None","15","C"
"A1Y1_137_R","A1Y1_137_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_16_A_2","1103P","Full","16","C"
"A1Y1_138_R","A1Y1_138_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_16_A_3","1103P","Full","16","C"
"A1Y1_139_R","A1Y1_139_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_16_B_2","Ungrafted","Full","16","C"
"A1Y1_140_R","A1Y1_140_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_16_B_3","Ungrafted","Full","16","C"
"A1Y1_141_R","A1Y1_141_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_16_C_2","SO4","Full","16","C"
"A1Y1_142_R","A1Y1_142_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_16_C_3","SO4","Full","16","C"
"A1Y1_143_R","A1Y1_143_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_16_D_2","3309C","Full","16","C"
"A1Y1_144_R","A1Y1_144_R","2017","Reproductive","Veraison","2017_Veraison_Reproductive_16_D_3","3309C","Full","16","C"
"A1Y1_145_R","A1Y1_145_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_8_A_2","1103P","None","8","A"
"A1Y1_146_R","A1Y1_146_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_8_A_3","1103P","None","8","A"
"A1Y1_147_R","A1Y1_147_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_8_B_2","3309C","None","8","A"
"A1Y1_148_R","A1Y1_148_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_8_B_3","3309C","None","8","A"
"A1Y1_149_R","A1Y1_149_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_8_C_2","SO4","None","8","A"
"A1Y1_150_R","A1Y1_150_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_8_C_3","SO4","None","8","A"
"A1Y1_151_R","A1Y1_151_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_8_D_2","Ungrafted","None","8","A"
"A1Y1_152_R","A1Y1_152_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_8_D_3","Ungrafted","None","8","A"
"A1Y1_153_R","A1Y1_153_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_9_A_2","Ungrafted","RDI","9","A"
"A1Y1_154_R","A1Y1_154_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_9_A_3","Ungrafted","RDI","9","A"
"A1Y1_155_R","A1Y1_155_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_9_B_2","1103P","RDI","9","A"
"A1Y1_156_R","A1Y1_156_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_9_B_3","1103P","RDI","9","A"
"A1Y1_157_R","A1Y1_157_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_9_C_2","3309C","RDI","9","A"
"A1Y1_158_R","A1Y1_158_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_9_C_3","3309C","RDI","9","A"
"A1Y1_159_R","A1Y1_159_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_9_D_2","SO4","RDI","9","A"
"A1Y1_160_R","A1Y1_160_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_9_D_3","SO4","RDI","9","A"
"A1Y1_161_R","A1Y1_161_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_10_A_2","3309C","Full","10","A"
"A1Y1_162_R","A1Y1_162_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_10_A_3","3309C","Full","10","A"
"A1Y1_164_R","A1Y1_164_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_10_B_3","SO4","Full","10","A"
"A1Y1_165_R","A1Y1_165_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_10_C_2","Ungrafted","Full","10","A"
"A1Y1_166_R","A1Y1_166_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_10_C_3","Ungrafted","Full","10","A"
"A1Y1_167_R","A1Y1_167_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_10_D_2","1103P","Full","10","A"
"A1Y1_168_R","A1Y1_168_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_10_D_3","1103P","Full","10","A"
"A1Y1_169_R","A1Y1_169_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_11_A_2","3309C","RDI","11","B"
"A1Y1_170_R","A1Y1_170_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_11_A_3","3309C","RDI","11","B"
"A1Y1_171_R","A1Y1_171_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_11_B_2","1103P","RDI","11","B"
"A1Y1_172_R","A1Y1_172_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_11_B_3","1103P","RDI","11","B"
"A1Y1_173_R","A1Y1_173_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_11_C_2","Ungrafted","RDI","11","B"
"A1Y1_174_R","A1Y1_174_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_11_C_3","Ungrafted","RDI","11","B"
"A1Y1_175_R","A1Y1_175_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_11_D_2","SO4","RDI","11","B"
"A1Y1_176_R","A1Y1_176_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_11_D_3","SO4","RDI","11","B"
"A1Y1_177_R","A1Y1_177_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_12_A_2","1103P","Full","12","B"
"A1Y1_178_R","A1Y1_178_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_12_A_3","1103P","Full","12","B"
"A1Y1_179_R","A1Y1_179_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_12_B_2","Ungrafted","Full","12","B"
"A1Y1_180_R","A1Y1_180_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_12_B_3","Ungrafted","Full","12","B"
"A1Y1_181_R","A1Y1_181_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_12_C_2","SO4","Full","12","B"
"A1Y1_182_R","A1Y1_182_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_12_C_3","SO4","Full","12","B"
"A1Y1_183_R","A1Y1_183_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_12_D_2","3309C","Full","12","B"
"A1Y1_184_R","A1Y1_184_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_12_D_3","3309C","Full","12","B"
"A1Y1_185_R","A1Y1_185_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_13_A_2","SO4","None","13","B"
"A1Y1_186_R","A1Y1_186_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_13_A_3","SO4","None","13","B"
"A1Y1_187_R","A1Y1_187_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_13_B_2","3309C","None","13","B"
"A1Y1_188_R","A1Y1_188_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_13_B_3","3309C","None","13","B"
"A1Y1_189_R","A1Y1_189_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_13_C_2","1103P","None","13","B"
"A1Y1_190_R","A1Y1_190_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_13_C_3","1103P","None","13","B"
"A1Y1_191_R","A1Y1_191_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_13_D_2","Ungrafted","None","13","B"
"A1Y1_192_R","A1Y1_192_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_13_D_3","Ungrafted","None","13","B"
"A1Y1_193_R","A1Y1_193_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_14_A_2","3309C","RDI","14","C"
"A1Y1_194_R","A1Y1_194_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_14_A_3","3309C","RDI","14","C"
"A1Y1_195_R","A1Y1_195_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_14_B_2","SO4","RDI","14","C"
"A1Y1_196_R","A1Y1_196_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_14_B_3","SO4","RDI","14","C"
"A1Y1_197_R","A1Y1_197_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_14_C_2","Ungrafted","RDI","14","C"
"A1Y1_198_R","A1Y1_198_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_14_C_3","Ungrafted","RDI","14","C"
"A1Y1_199_R","A1Y1_199_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_14_D_2","1103P","RDI","14","C"
"A1Y1_200_R","A1Y1_200_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_14_D_3","1103P","RDI","14","C"
"A1Y1_201_R","A1Y1_201_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_15_A_2","Ungrafted","None","15","C"
"A1Y1_202_R","A1Y1_202_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_15_A_3","Ungrafted","None","15","C"
"A1Y1_203_R","A1Y1_203_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_15_B_2","3309C","None","15","C"
"A1Y1_204_R","A1Y1_204_R","2017","Reproductive","Harvest","2017_Harvest_Reproductive_15_B_3","3309C","None","15","C"
